product,common_quantity
050890713           ,1.0
050890716           ,1.0
050890718           ,21.0
050890742           ,2.0
050890743           ,3.0
050890762           ,1.0
050890763           ,3.0
050890778           ,8.0
050890780           ,1.0
050890781           ,1.0
050890782           ,21.0
050890802           ,2.0
050890810           ,1.0
050890811           ,21.0
050890827           ,1.0
050890828           ,1.0
050890830           ,1.0
050890948           ,1.0
050890949           ,3.0
050890956           ,1.0
050890961           ,2.0
050890962           ,1.0
050891022           ,1.0
050891060           ,18.0
050891064           ,9.0
050891066           ,4.0
050891071           ,6.0
050891073           ,1.0
050891076           ,1.0
050891077           ,3.0
050891079           ,1.0
050891080           ,4.0
050891085           ,1.0
050891086           ,21.0
050891087           ,16.0
050891089           ,8.0
050891092           ,2.0
050891094           ,2.0
050891096           ,1.0
050891100           ,1.0
050891124           ,2.0
050891128           ,1.0
050891501           ,3.0
050891503           ,1.0
050891504           ,1.0
050891507           ,1.0
050891519           ,3.0
050891522           ,1.0
050891824           ,1.0
050891827           ,30.0
050892853           ,1.0
050892854           ,1.0
050892855           ,1.0
050892856           ,1.0
050892857           ,1.0
050892858           ,1.0
050892860           ,1.0
050892861           ,1.0
050892862           ,1.0
050892863           ,2.0
050892864           ,1.0
050892865           ,2.0
050892866           ,1.0
050892867           ,1.0
050892868           ,1.0
050892869           ,14.0
050892870           ,1.0
050892871           ,1.0
051042846           ,70.0
051092845           ,56.0
060010035           ,50.0
060010039           ,50.0
060010050           ,50.0
060010059           ,8.0
060010061           ,80.0
060010062           ,81.0
060010066           ,60.0
060010069           ,30.0
060010072           ,50.0
060010073           ,13.0
060010074           ,13.0
060010075           ,30.0
060010078           ,9.0
060010081           ,49.0
060010083           ,60.0
060010084           ,48.0
060010085           ,99.0
060010090           ,40.0
060010091           ,60.0
060010092           ,60.0
060040001           ,60.0
060040003           ,60.0
060040004           ,60.0
060040025           ,24.0
060040056           ,110.0
060040093           ,60.0
060050002           ,60.0
060050080           ,60.0
060050082           ,60.0
060050087           ,60.0
070010058           ,50.0
070010059           ,50.0
070010083           ,50.0
070010084           ,50.0
070010088           ,30.0
070010093           ,60.0
070010101           ,50.0
070010102           ,50.0
070010103           ,4.0
070010104           ,45.0
070010105           ,50.0
070010106           ,50.0
070010108           ,50.0
070010109           ,50.0
070010110           ,50.0
070010111           ,50.0
070020011           ,49.0
070020012           ,49.0
070020096           ,33.0
070050070           ,28.0
070050082           ,60.0
070050092           ,50.0
070050097           ,50.0
070050098           ,50.0
070050099           ,45.0
080010038           ,88.0
080010039           ,88.0
080050032           ,88.0
